date,forecast,lower,upper
2025-01-01,65.09062925532943,61.03033551974458,69.15092299091428
2025-01-02,62.74202847120739,58.64988754830951,66.83416939410527
2025-01-03,60.756349662444926,56.66166677864772,64.85103254624214
2025-01-04,61.10317562892309,57.00673175331359,65.19961950453259
2025-01-05,64.13872127271506,60.04014103440422,68.23730151102589
2025-01-06,66.36053846365785,62.259289680539915,70.46178724677578
2025-01-07,66.90752517382072,62.802982522889565,71.01206782475187
2025-01-08,65.56195812632055,61.446109878035486,69.67780637460561
2025-01-09,63.37722408466391,59.255927022624135,67.49852114670368
2025-01-10,61.40545992535826,57.2784910160175,65.53242883469902
2025-01-11,61.75017750526179,57.61674876743866,65.88360624308493
2025-01-12,64.7819410293469,60.64116065938592,68.92272139930787
2025-01-13,66.99983930799246,62.85077831424148,71.14890030174344
2025-01-14,67.54293447985106,63.38459766145215,71.70127129824996
2025-01-15,66.19352035489172,62.01430278718496,70.37273792259847
2025-01-16,64.00498503063467,59.81326917270694,68.1967008885624
2025-01-17,62.0294650357059,57.82500530933128,66.2339247620805
2025-01-18,62.37047170474663,58.15220315500572,66.58874025448753
2025-01-19,65.39856870763403,61.16531209915289,69.63182531611515
2025-01-20,67.61284432400342,63.36340002572787,71.86228862227897
2025-01-21,68.15236016789301,63.88547811230377,72.41924222348224
2025-01-22,66.79940953090939,62.50043845544015,71.09838060637863
2025-01-23,64.60737999840848,60.28698135149648,68.92777864532047
2025-01-24,62.62840759297815,58.28639575787693,66.97041942807937
2025-01-25,62.966003149274805,58.6011545137349,67.33085178481471
2025-01-26,65.99072984317155,61.60170084297906,70.37975884336404
2025-01-27,68.20167546620891,63.78712017841194,72.61623075400588
2025-01-28,68.73790115016894,64.29643870158907,73.17936359874881
2025-01-29,67.38169971017079,62.89628427573808,71.8671151446035
2025-01-30,65.1864582607827,60.66969829333482,69.70321822823058
2025-01-31,63.204312359436464,58.65615806017221,67.75246665870073
2025-02-01,63.53877238119651,58.9579582585255,68.11958650386752
2025-02-02,66.56040104784171,61.94553851340445,71.17526358227897
2025-02-03,68.76828570225021,64.11799990251413,73.41857150198629
2025-02-04,69.30148703290851,64.61438056956172,73.9885934962553
2025-02-05,67.94229741694305,63.19960848346233,72.68498635042377
2025-02-06,65.74410353616851,60.95999628491087,70.52821078742615
2025-02-07,63.759040520439754,58.93365382722463,68.58442721365488
2025-02-08,64.09061832235902,59.222739589802515,68.95849705491553
2025-02-09,67.10939924629642,62.1976899818417,72.02110851075113
2025-02-10,69.31447022271436,64.35761745109448,74.27132299433424
2025-02-11,69.84489153261704,64.84156727099949,74.84821579423459
2025-02-12,68.48295515052278,63.41330283479773,73.55260746624784
2025-02-13,66.28204736045421,61.16138052805244,71.40271419285598
2025-02-14,64.29430289923252,59.12297104250409,69.46563475596095
2025-02-15,64.62323133112773,59.400135913021145,69.84632674923431
2025-02-16,67.63939457682297,62.363307771794595,72.91548138185134
2025-02-17,69.84187918768339,64.51160563403826,75.17215274132852
2025-02-18,70.36974507015059,64.98407705771474,75.75541308258643
2025-02-19,69.00528382866088,63.5437796833297,74.46678797399206
2025-02-20,66.80188138158181,61.280626675197254,72.32313608796636
2025-02-21,64.81167210445342,59.23122132462264,70.3921228842842
2025-02-22,65.13816520458627,59.49756229370782,70.77876811546471
2025-02-23,68.15192224997395,62.45007807348672,73.85376642646118
2025-02-24,70.35202944351094,64.58789034953372,76.11616853748816
2025-02-25,70.87754634733662,65.0500453231031,76.70504737157013
2025-02-26,69.51076422570357,63.59925719437582,75.42227125703131
2025-02-27,67.30506866086492,61.326093818974556,73.28404350275528
2025-02-28,65.3125936962669,59.266887082214275,71.35830031031952
2025-03-01,65.63684821109877,59.523600489985064,71.75009593221247
2025-03-02,68.64839344915777,62.46665865767584,74.83012824063968
2025-03-03,70.84631529302011,64.59518343350432,77.0974471525359
2025-03-04,71.36967298833854,65.04821751131301,77.69112846536406
2025-03-05,70.00075748666481,63.58839966961607,76.41311530371355
2025-03-06,67.79295406129177,61.306433694240134,74.2794744283434
2025-03-07,65.79839645040116,59.23859987330411,72.3581930274982
2025-03-08,66.12059323156925,59.486847869812934,72.75433859332556
2025-03-09,69.13010535058831,62.4215992086082,75.83861149256842
2025-03-10,71.32601839559425,64.54197460216646,78.11006218902203
2025-03-11,71.8473913213216,64.9870122882079,78.7077703544353
2025-03-12,70.47651479188389,63.519463536440234,77.43356604732753
2025-03-13,68.26677379657406,61.22980569216757,75.30374190098055
2025-03-14,66.27030179297117,59.15442152797513,73.3861820579672
2025-03-15,66.59060708140541,59.39526246845519,73.78595169435563
2025-03-16,69.5982503337393,62.32274796947799,76.87375269800062
2025-03-17,71.79231686745584,64.435997120585,79.14863661432668
2025-03-18,72.31186536987414,64.87404352137257,79.74968721837571
2025-03-19,70.9391862408912,63.39987643735232,78.47849604443009
2025-03-20,68.72766420874396,61.10350611823922,76.3518222992487
2025-03-21,66.72943247307818,59.02152030456636,74.43734464159
2025-03-22,67.0479990793762,59.25588311121476,74.84011504753764
2025-03-23,70.0539244477012,62.177012948052806,77.9308359473496
2025-03-24,72.24629364674882,64.28402724862349,80.20856004487416
2025-03-25,72.76416511802687,64.71595519962361,80.81237503643013
2025-03-26,71.38982901856134,63.236103609368875,79.5435544277538
2025-03-27,69.17666983662347,60.933864287623486,77.41947538562346
2025-03-28,67.1768205347638,58.8460943327592,75.50754673676842
2025-03-29,67.49378892420555,59.074777872272165,75.91279997613893
2025-03-30,70.49813519355499,61.99033316360869,79.00593722350129
2025-03-31,72.68894418281951,64.09187616400487,81.28601220163415
